feature,coefficient,abs_coefficient,feature_type
binary__OTHER_MEDS__diabetes_meds,0.0725019715466627,0.0725019715466627,structured
binary__OTHER_MEDS__thyroid_meds,0.003505761004090925,0.003505761004090925,structured
binary__OTHER_MEDS__psych_meds,0.1290490827230483,0.1290490827230483,structured
binary__OTHER_MEDS__other,0.14991645996917657,0.14991645996917657,structured
abdomen,0.48196003629941253,0.48196003629941253,text
abdominal,1.8727864868270818,1.8727864868270818,text
abdominal discomfort,-0.8076611440755364,0.8076611440755364,text
abdominal pain,0.43203826942540535,0.43203826942540535,text
ability,0.7546312567939022,0.7546312567939022,text
able,0.043186933655475046,0.043186933655475046,text
able sleep,0.13974002406521469,0.13974002406521469,text
able walk,-0.26634642529066566,0.26634642529066566,text
abnormal,-0.3207271088100019,0.3207271088100019,text
abnormal feeling,0.49545827127264064,0.49545827127264064,text
abnormal felt,-0.8666150917767877,0.8666150917767877,text
abnormal non,-0.1326459074572547,0.1326459074572547,text
abnormalities,-0.3614821060799689,0.3614821060799689,text
abuse,0.3446081323498486,0.3446081323498486,text
accident,1.4805202069892287,1.4805202069892287,text
accidental,-1.0963544168807584,1.0963544168807584,text
accidental underdose,-0.7790906118899603,0.7790906118899603,text
accidentally,-1.3190126982490966,1.3190126982490966,text
accompanied,-0.018011831222291306,0.018011831222291306,text
according,0.4484062552527876,0.4484062552527876,text
acetaminophen,0.06502366453464044,0.06502366453464044,text
acetate,0.09889368445451292,0.09889368445451292,text
acetylsalicylic,0.05774624369119524,0.05774624369119524,text
acetylsalicylic acid,0.09983426631474536,0.09983426631474536,text
ache,-0.46972790848253,0.46972790848253,text
ached,-0.8003415160210668,0.8003415160210668,text
aches,-1.7664151748058246,1.7664151748058246,text
aches chills,-0.5891595388770065,0.5891595388770065,text
aches fatigue,-0.3467571890491713,0.3467571890491713,text
aches fever,0.39945242041859497,0.39945242041859497,text
aches headache,-0.01814767459341787,0.01814767459341787,text
aches joint,0.27044415773828906,0.27044415773828906,text
aches nausea,-0.4503954194578841,0.4503954194578841,text
aches pain,-0.17381495988292056,0.17381495988292056,text
aches pains,0.16508443190407535,0.16508443190407535,text
achiness,-1.0158995946253762,1.0158995946253762,text
aching,-1.167308809844235,1.167308809844235,text
achy,-1.6269614725520598,1.6269614725520598,text
acid,-1.033273692023353,1.033273692023353,text
acid aspirin,0.020364975980956313,0.020364975980956313,text
acid reflux,0.3246468009603941,0.3246468009603941,text
action,-8.657223210051207e-05,8.657223210051207e-05,text
action response,-0.07583008758322243,0.07583008758322243,text
action taken,-1.5710970198381131,1.5710970198381131,text
active,0.23031345853012686,0.23031345853012686,text
activities,0.45116614236957137,0.45116614236957137,text
activity,0.5816246771795925,0.5816246771795925,text
activity certain,-0.08492584285130125,0.08492584285130125,text
activity necessary,-1.2286908341631684,1.2286908341631684,text
actually,-1.489293863488882,1.489293863488882,text
acute,2.6767066559865063,2.6767066559865063,text
acute chronic,0.4682139181482839,0.4682139181482839,text
acute hypoxemic,0.0992710649805979,0.0992710649805979,text
acute hypoxic,0.11625671567294245,0.11625671567294245,text
acute kidney,1.1116288158948449,1.1116288158948449,text
acute respiratory,0.2985713789560774,0.2985713789560774,text
ad,0.06446665131319368,0.06446665131319368,text
ad cov,0.588920025461452,0.588920025461452,text
adalimumab,1.2782668095237002,1.2782668095237002,text
adalimumab humira,-1.1449681431997094,1.1449681431997094,text
add,-0.1318031547814133,0.1318031547814133,text
added,-0.4187113200357581,0.4187113200357581,text
addition,-0.1613492431461043,0.1613492431461043,text
additional,-1.238874465256651,1.238874465256651,text
additional details,-0.5568129589940803,0.5568129589940803,text
additional information,-1.2389294685037826,1.2389294685037826,text
additional non,0.7245189917397115,0.7245189917397115,text
additional vaccines,1.007725906801183,1.007725906801183,text
additionally,0.42566254352380833,0.42566254352380833,text
address,-0.3893931145643165,0.3893931145643165,text
admin,-0.5703605302772132,0.5703605302772132,text
admin batch,0.11770462031612602,0.11770462031612602,text
administer,-1.2280131307199647,1.2280131307199647,text
administered,-1.40062820266489,1.40062820266489,text
administered administered,0.34438599226313876,0.34438599226313876,text
administered apr,0.19973263327679303,0.19973263327679303,text
administered arm,0.04023218802624087,0.04023218802624087,text
administered date,-1.3795329698454968,1.3795329698454968,text
administered day,-0.2872623486771383,0.2872623486771383,text
administered days,-1.8470468987183022,1.8470468987183022,text
administered dose,0.030455463383940586,0.030455463383940586,text
administered doses,-0.6621395545493076,0.6621395545493076,text
administered expired,-2.2402375100275163,2.2402375100275163,text
administered left,0.590916487583994,0.590916487583994,text
administered mar,0.5995261248164705,0.5995261248164705,text
administered moderna,-0.5959544524728159,0.5959544524728159,text
administered past,-0.7626911156665339,0.7626911156665339,text
administered patient,-0.8531750543729951,0.8531750543729951,text
administered patients,0.07789653722581714,0.07789653722581714,text
administered product,-0.46570072031304016,0.46570072031304016,text
administered products,0.10142396060228774,0.10142396060228774,text
administered prophylactic,-0.3739463211120806,0.3739463211120806,text
administered received,-0.005284369437512322,0.005284369437512322,text
administered right,0.8713758478170099,0.8713758478170099,text
administered temperature,-0.3210606839542324,0.3210606839542324,text
administered vaccine,-0.6576520161552807,0.6576520161552807,text
administered vaccines,-0.23257519616919334,0.23257519616919334,text
