feature,importance,feature_type
rehab,7.643947482043144e-05,text
submitted,7.628957164891829e-05,text
registered,7.584423858955881e-05,text
approximately,7.573513990523301e-05,text
following vaccination,7.561702730808858e-05,text
april,7.548627243750855e-05,text
patients,7.463710986757211e-05,text
illness,7.444073007388112e-05,text
awoke,7.44407300738759e-05,text
manufacturer,7.435846601024563e-05,text
does,7.413501079739033e-05,text
attempts completed,7.372400548507408e-05,text
information patient,7.356732712851448e-05,text
worsened,7.350827700756984e-05,text
described,7.335343570369665e-05,text
recovered follow-up,7.308298216585155e-05,text
medicine,7.288188670807679e-05,text
continuing,7.243576895332711e-05,text
transient,7.240068708442489e-05,text
october,7.22971494122183e-05,text
certain,7.224470829431153e-05,text
hand,7.213537353520209e-05,text
affecting,7.21353735351865e-05,text
smell,7.213537353518632e-05,text
result event,7.20863914787356e-05,text
profile,7.193425909320508e-05,text
running,7.177978436515049e-05,text
funny,7.17094123381506e-05,text
feb patient,7.156057875948123e-05,text
fluticasone,7.152392350918319e-05,text
eyes,7.143304096597214e-05,text
using,7.139089011798848e-05,text
came negative,7.122544735040747e-05,text
infection,7.088609271009439e-05,text
possible contributory,7.08830445603247e-05,text
binary__HISTORY__metabolic,7.083408051236214e-05,structured
dose frequency,7.076303622781617e-05,text
concerned,7.027107894291215e-05,text
cat__STATE_WA,7.022649174933235e-05,structured
identified,6.954114371245812e-05,text
make sure,6.944699184250689e-05,text
tired,6.942726695228668e-05,text
okay,6.933784756769047e-05,text
breakfast,6.927723987011446e-05,text
eat,6.926076643943534e-05,text
asked,6.90891214140079e-05,text
suggested,6.89732339825939e-05,text
cat__MONTH_12,6.896168239930836e-05,structured
minute,6.892529331914622e-05,text
lay,6.855182892760428e-05,text
wife,6.838552605318631e-05,text
concomitant medications,6.829992476760878e-05,text
